user,play_count
27,8deca80c3da6024a1456e123308eb94fee1b439f,12
2, bd4c6e843f00bd476847fb75c47b4fb430a06856,14
13,c737ec8c1b16ce8e39115f4432c9a7fc21ec47a1,16
28,bf30441e24ef5326354295723d9fe1edf59b8554,18
15,ed7d4c476013b1c3dd91982b61494bf7436083ba,22
7, 9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,24
21,81bde1c3a845c64f1677bd9d28f2da85dfefcf30,28
17,169f9f4c68b62d1887c7c0ac99d10a79cfca5daf,34
1, 85c1f87fea955d09b4bec2e36aee110927aedf9a,38
14,45544491ccfcdc0b0803c34f201a6287ed4e30f8,39
29,12768858f6a825452e412deb1df36d2d1d9c6791,41
8, 9bb911319fbc04f01755814cb5edb21df3d1a336,58
22,403b3b867fc71dfdcc12652f30e88bdc7ccd9aa4,58
6, e006b1a48f466bf59feefed32bec6494495a4436,73
3, 8937134734f869debcab8f23d77465b4caaa85df,78
31,951945330eb5df161ac4f97729647514001cd102,80
4, 969cc6fb74e076a68e36a04409cb9d3765757508,94
5, 4bd88bfb25263a75bbdd467e74018f4ae570e5df,95
18,a820d2d4f16bbd53be9e41e0417dfb234bfdfba8, 105
20,0afaa5d9d04bf85af720fe8cc566a41ca3e41c97, 107
24,a1380d458c15706b9d5282304db81a5a78352e96, 120
0, b80344d063b5ccb3212f76538f3d9e43d87dca9e, 125
23,f84f5b5a5c5d1d9fb4866f6488e0d2661b54c192, 128
25,405d396ea64d75b5eaefaaf8ac836f45fa56af4d, 134
26,2c42e6551311710ca5a839d62058820a42ead493, 135
9, b64cdd1a0bd907e5e00b39e345194768e330d652, 164
10,17aa9f6dbdf753831da8f38c71b66b64373de613, 208
19,bd8475385f0aa78830fa6dfce9e7242164b035c8, 228
11,d6589314c0a9bcbca4fee0c93b14bc402363afea, 354
16,baf47ed8da24d607e50d8684cde78b923538640f, 413
30,a58de017cbeda1763ea002fe027ed41b4ed53109, 606
12,5a905f000fc1ff3df7ca807d57edb608863db05d,1422
